日期,股票代码,名称,收盘价,涨跌幅
2016-11-09,'600708,光明地产,9.48,0.2114
2016-11-08,'600708,光明地产,9.46,-0.1056
2016-11-07,'600708,光明地产,9.47,0.7447
2016-11-04,'600708,光明地产,9.4,-0.6342
2016-11-03,'600708,光明地产,9.46,-1.046
2016-11-02,'600708,光明地产,9.56,-0.3128
2016-11-01,'600708,光明地产,9.59,1.589
2016-10-31,'600708,光明地产,9.44,0.3188
2016-10-28,'600708,光明地产,9.41,0.213
2016-10-27,'600708,光明地产,9.39,-0.5297
2016-10-26,'600708,光明地产,9.44,0.106
2016-10-25,'600708,光明地产,9.43,0.2125
2016-10-24,'600708,光明地产,9.41,0.0
2016-10-21,'600708,光明地产,9.41,-0.9474
2016-10-20,'600708,光明地产,9.5,-0.2101
2016-10-19,'600708,光明地产,9.52,-0.4184
2016-10-18,'600708,光明地产,9.56,1.3786
2016-10-17,'600708,光明地产,9.43,-0.5274
2016-10-14,'600708,光明地产,9.48,0.9585
2016-10-13,'600708,光明地产,9.39,0.0
2016-10-12,'600708,光明地产,9.39,0.3205
2016-10-11,'600708,光明地产,9.36,0.3215
2016-10-10,'600708,光明地产,9.33,-5.2792
2016-09-30,'600708,光明地产,9.85,0.6129
2016-09-29,'600708,光明地产,9.79,-0.102
2016-09-28,'600708,光明地产,9.8,-0.7092
2016-09-27,'600708,光明地产,9.87,2.8125
2016-09-26,'600708,光明地产,9.6,-1.9408
2016-09-23,'600708,光明地产,9.79,-2.002
2016-09-22,'600708,光明地产,9.99,3.8462
2016-09-21,'600708,光明地产,9.62,-0.8247
2016-09-20,'600708,光明地产,9.7,2.4287
2016-09-19,'600708,光明地产,9.47,0.9595
2016-09-14,'600708,光明地产,9.38,-0.9504
2016-09-13,'600708,光明地产,9.47,0.2116
2016-09-12,'600708,光明地产,9.45,-3.1762
2016-09-09,'600708,光明地产,9.76,0.2053
2016-09-08,'600708,光明地产,9.74,0.9326
2016-09-07,'600708,光明地产,9.65,-0.4128
2016-09-06,'600708,光明地产,9.69,2.0
2016-09-05,'600708,光明地产,9.5,-0.2101
2016-09-02,'600708,光明地产,9.52,-0.6263
2016-09-01,'600708,光明地产,9.58,-3.9117
2016-08-31,'600708,光明地产,9.97,1.0132
2016-08-30,'600708,光明地产,9.87,-1.6932
2016-08-29,'600708,光明地产,10.04,-0.6924
2016-08-26,'600708,光明地产,10.11,-1.173
2016-08-25,'600708,光明地产,10.23,1.5889
2016-08-24,'600708,光明地产,10.07,-1.1776
2016-08-23,'600708,光明地产,10.19,-2.1134
2016-08-22,'600708,光明地产,10.41,-3.1628
2016-08-19,'600708,光明地产,10.75,-1.4665
2016-08-18,'600708,光明地产,10.91,4.2025
2016-08-17,'600708,光明地产,10.47,-3.6799
2016-08-16,'600708,光明地产,10.87,-1.3612
2016-08-15,'600708,光明地产,11.02,9.98
2016-08-12,'600708,光明地产,10.02,4.0498
2016-08-11,'600708,光明地产,9.63,-3.3133
2016-08-10,'600708,光明地产,9.96,0.9119
2016-08-09,'600708,光明地产,9.87,-1.3
2016-08-08,'600708,光明地产,10.0,2.8807
2016-08-05,'600708,光明地产,9.72,2.9661
2016-08-04,'600708,光明地产,9.44,0.8547
2016-08-03,'600708,光明地产,9.36,2.8571
2016-08-02,'600708,光明地产,9.1,3.6446
2016-08-01,'600708,光明地产,8.78,-2.2272
2016-07-29,'600708,光明地产,8.98,-4.8729
2016-07-28,'600708,光明地产,9.44,0.106
2016-07-27,'600708,光明地产,9.43,0.3191
2016-07-26,'600708,光明地产,9.4,0.1065
2016-07-25,'600708,光明地产,9.39,-1.6754
2016-07-22,'600708,光明地产,9.55,0.6322
2016-07-21,'600708,光明地产,9.49,6.9899
2016-07-20,'600708,XD光明地,8.87,-0.1126
2016-07-19,'600708,光明地产,8.98,2.9817
2016-07-18,'600708,光明地产,8.72,-1.3575
2016-07-15,'600708,光明地产,8.84,-1.559
2016-07-14,'600708,光明地产,8.98,2.2779
2016-07-13,'600708,光明地产,8.78,1.0357
2016-07-12,'600708,光明地产,8.69,0.8121
2016-07-11,'600708,光明地产,8.62,-1.26
2016-07-08,'600708,光明地产,8.73,0.3448
2016-07-07,'600708,光明地产,8.7,-1.6949
2016-07-06,'600708,光明地产,8.85,0.454
2016-07-05,'600708,光明地产,8.81,3.2825
2016-07-04,'600708,光明地产,8.53,0.7084
2016-07-01,'600708,光明地产,8.47,0.9535
2016-06-30,'600708,光明地产,8.39,0.2389
2016-06-29,'600708,光明地产,8.37,0.4802
2016-06-28,'600708,光明地产,8.33,-0.5967
2016-06-27,'600708,光明地产,8.38,1.5758
2016-06-24,'600708,光明地产,8.25,-1.6687
2016-06-23,'600708,光明地产,8.39,0.8413
2016-06-22,'600708,光明地产,8.32,0.4831
2016-06-21,'600708,光明地产,8.28,-1.3111
2016-06-20,'600708,光明地产,8.39,1.3285
2016-06-17,'600708,光明地产,8.28,0.3636
2016-06-16,'600708,光明地产,8.25,0.0
2016-06-15,'600708,光明地产,8.25,2.7397
2016-06-14,'600708,光明地产,8.03,-0.1244
2016-06-13,'600708,光明地产,8.04,-4.7393
2016-06-08,'600708,光明地产,8.44,0.2375
2016-06-07,'600708,光明地产,8.42,-0.237
2016-06-06,'600708,光明地产,8.44,0.4762
2016-06-03,'600708,光明地产,8.4,0.5988
2016-06-02,'600708,光明地产,8.35,0.1199
2016-06-01,'600708,光明地产,8.34,-0.8323
2016-05-31,'600708,光明地产,8.41,6.7259
2016-05-30,'600708,光明地产,7.88,-0.3793
2016-05-27,'600708,光明地产,7.91,0.1266
2016-05-26,'600708,光明地产,7.9,-0.5038
2016-05-25,'600708,光明地产,7.94,-0.2513
2016-05-24,'600708,光明地产,7.96,-1.118
2016-05-23,'600708,光明地产,8.05,0.1244
2016-05-20,'600708,光明地产,8.04,-0.2481
2016-05-19,'600708,光明地产,8.06,-0.7389
2016-05-18,'600708,光明地产,8.12,-3.5629
2016-05-17,'600708,光明地产,8.42,-0.7075
2016-05-16,'600708,光明地产,8.48,0.9524
2016-05-13,'600708,光明地产,8.4,-0.3559
2016-05-12,'600708,光明地产,8.43,-2.7682
2016-05-11,'600708,光明地产,8.67,-0.4592
2016-05-10,'600708,光明地产,8.71,-1.0227
2016-05-09,'600708,光明地产,8.8,-1.8952
2016-05-06,'600708,光明地产,8.97,-3.1317
2016-05-05,'600708,光明地产,9.26,0.0
2016-05-04,'600708,光明地产,9.26,0.4338
2016-05-03,'600708,光明地产,9.22,4.1808
2016-04-29,'600708,光明地产,8.85,-4.7363
