日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year
2017-02-06,'603299,井神股份,14.17,3.2047,1.032047,2.674925872401844,14.1430874994277,13.717892417266,14.868699885608455,17.61695059469484,17.30195625162107,17.312467788934537
2017-02-07,'603299,井神股份,14.3,0.9174,1.009174,2.6994656423552588,14.272836184147453,13.855630260971486,14.69952235119533,17.55872865379988,17.27583977874837,17.29312742191584
2017-02-08,'603299,井神股份,14.84,3.7762,1.037762,2.8014028639418784,14.81180702413323,14.101162272674127,14.591228934350264,17.511984816375996,17.25604462075136,17.28064272421292
2017-02-09,'603299,井神股份,14.69,-1.0108,0.989892,2.773086283793154,14.66208927873329,14.318747604900727,14.507388882008147,17.459585000742,17.23491860005688,17.26652363344756
2017-02-10,'603299,井神股份,14.47,-1.4976,0.985024,2.7315565436070677,14.44250982969498,14.46646596322734,14.436025151220994,17.39304546352158,17.210216087145785,17.258814903535526
2017-02-13,'603299,井神股份,14.52,0.3455,1.003455,2.74099407146523,14.492408701156577,14.536330203573112,14.349190181036244,17.334656836833908,17.185097642693133,17.257797858121037
2017-02-14,'603299,井神股份,14.36,-1.1019,0.988981,2.7107910577917544,14.332716849678532,14.548306336679328,14.264850564836298,17.27543654472445,17.161060553550957,17.262036702228297
2017-02-15,'603299,井神股份,14.15,-1.4624,0.985376,2.671148449362608,14.123115198468835,14.41056797154645,14.181009836688045,17.200412897427043,17.13469455676616,17.260139883106802
2017-02-16,'603299,井神股份,14.16,0.0707,1.000707,2.6730369513163077,14.133100240914153,14.30477016398262,14.108148454072818,17.135869313635236,17.10599965107755,17.25605259205161
2017-02-17,'603299,井神股份,14.04,-0.8475,0.991525,2.650382963153902,14.013322216372405,14.218932641318105,14.05674572200291,17.066667884622472,17.074892566650526,17.24909643939948
2017-02-20,'603299,井神股份,14.04,0.0,1.0,2.650382963153902,14.013322216372405,14.12311534436127,14.064230732400016,16.985655610112776,17.041622963238176,17.2404674490845
2017-02-21,'603299,井神股份,14.24,1.4245,1.014245,2.6881376684640297,14.212941991344632,14.09916037269449,14.067723586923439,16.87653023945953,17.01251214435916,17.22618462179204
2017-02-22,'603299,井神股份,14.34,0.7022,1.007022,2.7070137711719844,14.312745270007856,14.137086387002293,14.095170360769359,16.74494736541002,16.984981550775863,17.2156466098984
2017-02-23,'603299,井神股份,14.46,0.8368,1.008368,2.7296660624091516,14.43251432242728,14.196969203304917,14.133596344667225,16.609871264544143,16.962275024686253,17.208096883789352
2017-02-24,'603299,井神股份,14.62,1.1065,1.011065,2.759869817389709,14.59221009340494,14.312746778711425,14.171024407034702,16.439861529234708,16.94015066660925,17.199194515691858
2017-02-27,'603299,井神股份,14.31,-2.1204,0.978796,2.7013495377817773,14.28279687058438,14.366641709553821,14.185994918688545,16.30561706657807,16.91411710496685,17.18232340485467
2017-02-28,'603299,井神股份,14.25,-0.4193,0.995807,2.6900227791698583,14.222909103306021,14.368635131946098,14.217933025572844,16.200483887623697,16.8900797468559,17.159955323666555
2017-03-01,'603299,井神股份,14.25,0.0,1.0,2.6900227791698583,14.222909103306021,14.350667898605732,14.249871132457145,16.107826994320778,16.857974400080018,17.142008270266526
2017-03-02,'603299,井神股份,14.06,-1.3333,0.986667,2.6541567054551867,14.033275056231641,14.270820045366605,14.272826754388712,16.012009533566616,16.826950394421505,17.121669700466477
2017-03-03,'603299,井神股份,13.91,-1.0669,0.989331,2.625839507564685,13.883554044656703,14.129088835616958,14.281808554718449,15.917023779592547,16.79126849598962,17.09308507961763
2017-03-06,'603299,井神股份,14.14,1.6535,1.016535,2.6692577638222668,14.1131186107851,14.0951531836571,14.280310110286319,15.843996375743489,16.754671739788293,17.064184020743408
2017-03-07,'603299,井神股份,14.39,1.768,1.01768,2.716450241086644,14.36263854782378,14.123099072560652,14.284800228470136,15.774961184646163,16.72298230165929,17.04480444545441
2017-03-08,'603299,井神股份,14.36,-0.2085,0.997915,2.7107864423339785,14.332692446451569,14.145055741189761,14.260844499586051,15.706424914710036,16.694203935882886,17.027933828640094
2017-03-09,'603299,井神股份,14.14,-1.532,0.98468,2.669257194037422,14.113115598171932,14.16102384957782,14.233395815557984,15.628406907848875,16.66326301481846,17.017593096669426
2017-03-10,'603299,井神股份,14.05,-0.6365,0.993635,2.652267371997374,14.023285617389567,14.18897016412439,14.212434604942711,15.535583877683372,16.631323946215087,17.000201769357503
2017-03-13,'603299,井神股份,14.15,0.7117,1.007117,2.6711435588838794,14.123089341128528,14.190964310193078,14.19396863694131,15.452076485721715,16.60121472424774,16.980302170409164
2017-03-14,'603299,井神股份,14.27,0.8481,1.008481,2.6937975274067734,14.242867261830638,14.167010052994451,14.189476157548913,15.40250436105524,16.56819444622457,16.96124011420265
2017-03-15,'603299,井神股份,15.7,10.021,1.10021,2.963742977628206,15.670144990138684,14.434500561731872,14.266827647132406,15.374723864796918,16.549563337432073,16.954339449895937
2017-03-16,'603299,井神股份,15.99,1.8471,1.018471,3.018486274167976,15.959588238251536,14.803795089747794,14.358152046999274,15.344614475835085,16.543741154578502,16.948357616588858
2017-03-17,'603299,井神股份,15.51,-3.0019,0.969981,2.9278743347037275,15.480497358927463,15.095237438055374,14.431510804127026,15.304357802135199,16.53184718165176,16.940100962928224
2017-03-20,'603299,井神股份,15.56,0.3224,1.003224,2.937313801558812,15.53040648241264,15.376700866312197,14.507365017429038,15.256948095835183,16.522115832051085,16.934473530385528
