日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year,wm,wq,wh,wy,mq,mh,my,qh,qy,hy,wmq,wmqh,wmqhy,mqh,mqhy,qhy
2018-07-13,'300729,乐歌股份,33.06,-2.4779,0.975221,1.4382096655301744,32.7684483897202,33.12726709576208,34.07732822504643,32.457761275392976,30.37633891797349,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-16,'300729,乐歌股份,32.46,-1.8149,0.981851,1.4121075983104672,32.17373381989517,32.816030621287474,33.98613655298165,32.504095047486786,30.38998313424299,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-17,'300729,乐歌股份,32.7,0.7394,1.007394,1.4225487218923747,32.411626407759464,32.597968765094436,34.00496668869606,32.566870834981195,30.397975681777798,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-18,'300729,乐歌股份,31.9,-2.4465,0.975535,1.3877460674112778,31.618675967693633,32.51470667248867,33.911793396141924,32.63087792748122,30.389756019677552,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-19,'300729,乐歌股份,32.12,0.6897,1.006897,1.3973173520382134,31.836749975842814,32.161846912182284,33.82605505410282,32.710668404603915,30.390331118558368,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-20,'300729,乐歌股份,31.9,-0.6849,0.993151,1.3877471254941036,31.618700075258268,31.931897249289896,33.64764246024901,32.769093886572925,30.38047001812273,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-23,'300729,乐歌股份,30.0,-5.9561,0.940439,1.3050915189525494,29.735458680075812,31.44424222132603,33.40182923294343,32.79514711385937,30.371496939984638,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-24,'300729,乐歌股份,30.58,1.9333,1.019333,1.330322853288459,30.31033430273772,31.02398380032168,33.07027742357626,32.84063203399576,30.368299456258946,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-25,'300729,乐歌股份,30.66,0.2616,1.002616,1.3338029778726614,30.389626137273673,30.778173834237684,32.76747047726063,32.841469752883484,30.361576327592136,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-07-26,'300729,乐歌股份,30.85,0.6197,1.006197,1.3420685549265383,30.57795065044636,30.52641396915839,32.51025764529401,32.867281453211405,30.357818088898988,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-07-27,'300729,乐歌股份,30.5,-1.1345,0.988655,1.3268427871708968,30.231043800317046,30.24888271417015,32.19307930530349,32.890430565469224,30.356258481555734,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-07-30,'300729,乐歌股份,29.95,-1.8033,0.981967,1.302915831189844,29.685887387465932,30.23896845564817,31.970063536940717,32.91664250949818,30.348185818900316,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-07-31,'300729,乐歌股份,29.35,-2.0033,0.979967,1.276814518343618,29.09119000543283,29.995139596187194,31.605805059760467,32.90749572543991,30.335157344727957,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-08-01,'300729,乐歌股份,28.33,-3.4753,0.965247,1.2324413833876222,28.08018387917402,29.533251144567267,31.372878074012466,32.876081141816734,30.334225546096736,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
